yr1,yr2,total_offered,total_sold,avg_value_USD,avg_ferrari,avg_mercedes,avg_porsche
1993,94,1521,775,34436,62580,45084,20777
1994,95,1677,1077,46845,99007,41541,24872
1995,96,1734,1114,48064,132199,66569,54878
1996,97,2083,1378,53768,169636,55029,24086
1997,98,2044,1230,65107,112221,66800,120142
1998,99,2193,1419,88601,234667,116601,94729
1999,0,2339,1569,102855,262481,102854,100351
2000,1,2359,1508,77675,186561,114504,51953
2001,2,2406,1558,84885,201332,146532,48916
2002,3,2728,1737,78004,137872,156281,70595
2003,4,2252,1516,99515,173344,108790,79421
2004,5,2347,1619,137701,320936,237121,142353
2005,6,2645,1867,159081,276637,219629,92536
2006,7,2763,2074,211888,575256,253270,136584
2007,8,2515,1792,259364,558241,504755,174632
2008,9,3634,2599,157038,426010,167475,110453
2009,10,3812,2693,170204,523437,225372,168936
2010,11,3827,2601,200592,628002,388681,170598
2011,12,4432,3107,222076,735473,375518,288088
2012,13,4170,3074,266914,889482,596980,222125
2013,14,4763,3622,321573,1165324,350694,307286
2014,15,5156,4036,304532,924343,366567,346502
2015,16,5644,4044,299448,753398,297706,309267
